"","_date_collected","_hash_key","_owner_id","_process_id","_provider_name","_record_id","_transfer_id","bred_gap","bred_reason","bred_result","breeding_code","days_in_milk","event_date","event_time_local","event_time_utc","from_pen_id","remark","result","src_event_id","src_protocol","src_tag_id","src_technician_id","src_descr","technician_name","to_pen_id"
"1928","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73ed","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",326,"2023-08-25",NA,NA,NA,NA,NA,"DRY",NA,11235,NA,NA,NA,NA
"1929","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73ee","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",0,"2023-08-20",NA,NA,NA,NA,NA,"FRESH",NA,11237,NA,NA,NA,NA
"1930","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73ef","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",3,"2023-08-23",NA,NA,NA,"FR",NA,"FLAG",NA,11237,NA,NA,NA,NA
"1931","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73f0","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",12,"2023-09-01",NA,NA,NA,"F004T002",NA,"MOVE",NA,11237,NA,NA,NA,NA
"1932","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73f1","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",325,"2023-09-07",NA,NA,NA,"NONE",NA,"FOOTRIM",NA,11240,NA,NA,NA,NA
"1933","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73f2","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",305,"2023-08-01",NA,NA,NA,"ENT",NA,"VACC",NA,11242,NA,NA,NA,NA
"1934","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73f3","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",308,"2023-08-04",NA,NA,NA,NA,NA,"DRY",NA,11242,NA,NA,NA,NA
"1935","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73f4","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",341,"2023-09-06",NA,NA,NA,"F020T365",NA,"MOVE",NA,11242,NA,NA,NA,NA
"1936","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73f5","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",4,"2023-07-31",NA,NA,NA,"FR",NA,"FLAG",NA,11243,NA,NA,NA,NA
"1937","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73f6","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",15,"2023-08-11",NA,NA,NA,"F004T009",NA,"MOVE",NA,11243,NA,NA,NA,NA
"1938","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73f7","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",28,"2023-08-24",NA,NA,NA,"MLV",NA,"VACC",NA,11243,NA,NA,NA,NA
"1939","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73f8","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",36,"2023-09-01",NA,NA,NA,"BOVILLIS",NA,"VACC",NA,11243,NA,NA,NA,NA
"1940","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73f9","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",17,"2023-08-04",NA,NA,NA,"F004T002",NA,"MOVE",NA,11244,NA,NA,NA,NA
"1941","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73fa","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",30,"2023-08-17",NA,NA,NA,"MLV",NA,"VACC",NA,11244,NA,NA,NA,NA
"1942","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73fb","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",45,"2023-09-01",NA,NA,NA,"BOVILLIS",NA,"VACC",NA,11244,NA,NA,NA,NA
"1943","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73fc","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",215,"2023-08-14",NA,NA,NA,"NONE",NA,"FOOTRIM",NA,11247,NA,NA,NA,NA
"1944","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73fd","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",304,"2023-08-04",NA,NA,NA,"F006T007",NA,"MOVE",NA,11248,NA,NA,NA,NA
"1945","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73fe","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",287,"2023-08-31",NA,NA,NA,"KILLED",NA,"VACC",NA,11250,NA,NA,NA,NA
"1946","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e73ff","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",364,"2023-08-04",NA,NA,NA,"F006T007",NA,"MOVE",NA,11251,NA,NA,NA,NA
"1947","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e7400","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",397,"2023-09-06",NA,NA,NA,"REPRO",NA,"SOLD",NA,11251,NA,NA,NA,NA
"1948","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e7401","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",331,"2023-08-23",NA,NA,NA,"F020T361",NA,"MOVE",NA,11252,NA,NA,NA,NA
"1949","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e7402","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",0,"2023-08-06",NA,NA,NA,NA,NA,"FRESH",NA,11255,NA,NA,NA,NA
"1950","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e7403","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",3,"2023-08-09",NA,NA,NA,"FR",NA,"FLAG",NA,11255,NA,NA,NA,NA
"1951","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e7404","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",19,"2023-08-25",NA,NA,NA,"F004T009",NA,"MOVE",NA,11255,NA,NA,NA,NA
"1952","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e7405","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",34,"2023-09-09",NA,NA,NA,"MLV",NA,"VACC",NA,11255,NA,NA,NA,NA
"1953","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e7406","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",330,"2023-08-23",NA,NA,NA,"F021T364",NA,"MOVE",NA,11258,NA,NA,NA,NA
"1954","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e7407","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",0,"2023-09-10",NA,NA,NA,NA,NA,"FRESH",NA,11258,NA,NA,NA,NA
"1955","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e7408","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",41,"2023-08-10",NA,NA,NA,"BOVILLIS",NA,"VACC",NA,11259,NA,NA,NA,NA
"1956","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e7409","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",67,"2023-09-05",NA,NA,NA,"LUT",NA,"OK",NA,11259,NA,NA,NA,NA
"1957","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e740a","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"T",70,"2023-09-08",NA,NA,NA,"629H20761",NA,"BRED",NA,11259,"7",NA,"Trinity",NA
